rijksmonumentnummer,hoofdcategorie,adres,woonplaatsnaam,ai_heeft_uitsluiting,ai_heeft_relatieve_waardering,ai_heeft_constatering,ai_heeft_bescherming_vanwege,ai_fragment_uitsluiting,ai_fragment_relatieve_waardering,ai_fragment_constatering,ai_fragment_bescherming_vanwege,omschrijving
20771,Woningen en woningbouwcomplexen,Zuiderhaven 33,Harlingen,False,False,True,False,,,Ondiep hoekpand; in vensters van de verdieping roeden.,,Ondiep hoekpand; in vensters van de verdieping roeden. XVIII-XIX.
13938,Woningen en woningbouwcomplexen,Vriesestraat 33 B,Dordrecht,False,True,True,True,,eenvoudige doch harmonische architectuur,Vier vensterassen breed.,monumentale lijstgevel | oudheidkundige waarde,PAND met monumentale lijstgevel (midden XIX) met verkropte lijst. Vier vensterassen breed. Gebouw van eenvoudige doch harmonische architectuur en van oudheidkundige waarde.
1297,Woningen en woningbouwcomplexen,Haarlemmerdijk 33,Amsterdam,False,False,True,False,,,PAND met gevel (midden XVIII) onder rechte lijst met consoles (XVIIId). | Beschadigde gevelsteen uit de bouwtijd met Hercules ?,,PAND met gevel (midden XVIII) onder rechte lijst met consoles (XVIIId). Beschadigde gevelsteen uit de bouwtijd met Hercules ?
24818,Woningen en woningbouwcomplexen,Hogewoerd 33,Leiden,False,False,True,False,,,"Pand met tuitgevel, begin 18e eeuw.",,"Pand met tuitgevel, begin 18e eeuw."
29277,Woningen en woningbouwcomplexen,Londensekaai 33,Middelburg,False,False,True,False,,,"Huis met rechte gevel, kroonlijst met datering 1754 in cartouches en gesneden consoles. | Hardstenen plint. | Eenvoudige voordeuromlijsting. | Stoep. | XVIII.",,"Huis met rechte gevel, kroonlijst met datering 1754 in cartouches en gesneden consoles. Hardstenen plint. Eenvoudige voordeuromlijsting. Stoep. XVIII."
8230,Woningen en woningbouwcomplexen,Solwerderstraat 33,Appingedam,False,False,True,False,,,"Onderkelderd pand met verdieping onder zadeldak, aan de voorzijde van schild voorzien; de voorgevel afgesloten door forse kroonlijst. | Omlijste ingang met lage stoep.",,"Onderkelderd pand met verdieping onder zadeldak, aan de voorzijde van schild voorzien; de voorgevel afgesloten door forse kroonlijst. Omlijste ingang met lage stoep."
6997,Woningen en woningbouwcomplexen,Dorpsstraat 33,Baambrugge,False,False,True,False,,,"Pand met lage topgevel, 18 eeuw.",,"Pand met lage topgevel, 18 eeuw."
14882,Woningen en woningbouwcomplexen,Westerwalstraat 33,Elburg,False,False,True,False,,,Muurhuisje (XIX A ?) met gewijzigde kap waarin dakkapel met vleugelstukken. | Gesneden deur.,,Muurhuisje (XIX A ?) met gewijzigde kap waarin dakkapel met vleugelstukken. Gesneden deur.
836,Woningen en woningbouwcomplexen,Binnen Brouwersstraat 33,Amsterdam,False,True,True,False,,Goede roedenverdeling op de verdiepingen.,Pand met gevel onder rechte klossenlijst (XIX A). | Houten pui met gesneden deurkalven en snijramen.,,Pand met gevel onder rechte klossenlijst (XIX A). Houten pui met gesneden deurkalven en snijramen. Goede roedenverdeling op de verdiepingen.
530916,Woningen en woningbouwcomplexen,Johannes Worpstraat 33,Amsterdam,False,True,True,True,,als evidente mijlpaal in de ontwikkeling van de midden twintigste-eeuwse architectuur en stedenbouw in Nederland,Thans is de indeling van veel woningen aangepast aan nieuwe woonwensen. | De onderpui van het bouwblok is teruggelegd en op pylonen geplaatst. | De wit geschilderde gevels zijn met gekleurde platen onder de vensters afgewerkt. | De kopse gevels zijn vrij gesloten uitgevoerd; de gevel aan de kant van het naastgelegen bouwblok is uitgevoerd in gele baksteen gevat in een wit geschilderde omlijsting.,"Waardering Het woonblok is van algemeen belang | - wegens de ensemblewaarde als onderdeel van een complex met vier identieke woonblokken | - wegens de stedenbouwkundige waarde als onderdeel van de uitbreidingsplannen Zuider Amstelkanaal I, gesitueerd in een ruime groenaanleg | - wegens de sociaal-culturele waarde als woonblok voor de middenstandsklasse en voor die tijd, ongebruikelijke woonvormen (vrijgezellenflats) | - wegens de architectuurhistorische waarde als etagebouw die is geïnspireerd op het werk van Le Corbusier en Rietveld | - wegens de bijzondere kunsttoepassing door het gebruikmaken van gekleurde platen onder de vensters en de integratie van kunst en architectuur in het exterieur","Inleiding WONINGBLOK van vier verdiepingen, onderdeel uitmakend van het complex Warnersblokken; van A. Warners (1914-1981), uitgevoerd in 1957 als onderdeel van het uitbreidingsplan Zuider Amstelkanaal I. Dit verving een uitbreidingsplan uit 1940. Het kleurenschema van de platen onder de vensters is ontworpen door de kunstenaar Joseph Ongenae maar bij vernieuwing van de vensters vervangen door gekleurde folie in dezelfde kleuren echter met een andere kleurintensiteit en rangschikking. Thans is de indeling van veel woningen aangepast aan nieuwe woonwensen. Omschrijving De onderpui van het bouwblok is teruggelegd en op pylonen geplaatst. De ruimten tussen de pylonen zijn opgevuld met gele baksteen en bevatten de bergingen. Het geheel is uitgevoerd in systeembouw. De wit geschilderde gevels zijn met gekleurde platen onder de vensters afgewerkt. De twee ingangspartijen met trappenhuis worden benadrukt doordat de platen onder de vensters daar uniformer van kleur zijn dan op de rest van de gevels (alleen grijstinten bijvoorbeeld). De inpandige balkons aan de voorzijde hebben aan één zijde een wit geschilderde muur met balkondeur en aan de andere zijde een venster. Aan de achtergevel is bij de balkons aan de andere zijde de gele baksteen in het zicht gelaten. De balkons worden afgesloten door een spijlenhek. De kopse gevels zijn vrij gesloten uitgevoerd; de gevel aan de kant van het naastgelegen bouwblok is uitgevoerd in gele baksteen gevat in een wit geschilderde omlijsting. De andere gevel is voorzien van een geel geschilderd uitwendig isolatiemateriaal, gevat in de wit geschilderde omlijsting. De oorspronkelijke indeling van het interieur bestond uit twee entreepartijen. Achter elke entreepartij bevindt zich een centrale entreehal met trappenhuis, bergingen tegen de achtergevel en garages tegen de voorgevel. Het centrale trappenhuis gaf op de verdiepingen steeds toegang tot drie woningen: aan weerszijden van het trappenhuis twee driekamer woningen; gespiegeld ten opzichte van elkaar, met een balkon aan de voor- en achterzijde. Recht tegenover het trappenhuis, dus aan de zijde van de achtergevel, een éénkamerwoning (vrijgezellenflat) zonder balkon. Waardering Het woonblok is van algemeen belang - als evidente mijlpaal in de ontwikkeling van de midden twintigste-eeuwse architectuur en stedenbouw in Nederland; - wegens de ensemblewaarde als onderdeel van een complex met vier identieke woonblokken; - wegens de stedenbouwkundige waarde als onderdeel van de uitbreidingsplannen Zuider Amstelkanaal I, gesitueerd in een ruime groenaanleg; - wegens de sociaal-culturele waarde als woonblok voor de middenstandsklasse en voor die tijd, ongebruikelijke woonvormen (vrijgezellenflats); - wegens de architectuurhistorische waarde als etagebouw die is geïnspireerd op het werk van Le Corbusier en Rietveld; - wegens de bijzondere kunsttoepassing door het gebruikmaken van gekleurde platen onder de vensters en de integratie van kunst en architectuur in het exterieur."
41800,Woningen en woningbouwcomplexen,Sassenstraat 33,Zwolle,False,True,True,False,,belangrijke resten van het oorspronkelijke houtskelet,Geheel onderkelderd | nog grotendeels 15e eeuws pand met hoge kap,,Geheel onderkelderd nog grotendeels 15e eeuws pand met hoge kap en inwendig belangrijke resten van het oorspronkelijke houtskelet.
521281,Woningen en woningbouwcomplexen,Hoogstraat 33,Vught,False,True,True,True,,"De woonhuizen hebben cultuurhistorische waarde als bijzondere uitdrukking van een sociaal-economische ontwikkeling; zij vormen een voorbeeld van door particuliere weldoeners gerealiseerde volkswoningbouw. | De woonhuizen hebben architectuurhistorische waarde als voorbeeld van volkswoningbouw in een karakteristiek gedetailleerde, traditionalistische vormentaal en vanwege het bijzondere materiaalgebruik. | De woonhuizen bezitten ensemblewaarde als essentieel onderdeel van een groter geheel dat cultuurhistorisch, architectuurhistorisch en stedenbouwkundig van nationaal belang is. | Tot slot zijn de woonhuizen van belang wegens gaafheid van het exterieur en vanwege typologische zeldzaamheid.",In het merendeel van de woonhuizen is het interieur in de loop der tijd veranderd. | In tegenstelling tot de hierboven beschreven typen woonhuizen (Complexonderdelen 1 en 2) hadden deze woonhuizen oorspronkelijk een vaste wand in plaats van schuifdeuren tussen de voor- en achterkamer op de begane grond. | Op de bovenverdieping hadden deze huizen oorspronkelijk vier slaapkamers.,"De woonhuizen behorend bij het volkswoningbouwcomples de ""Piekenhoek""zijn van algemeen belang.","Inleiding Langs de noordelijke zijde van de Akkerstraat, de oostelijke zijde van de Fortstraat en de westelijke zijde van de Hoogstraat is een vijftal blokken met WOONHUIZEN van hetzelfde type gelegen. Deze woningblokken werden in 1938 opgetrokken in een Traditionalistische stijl, naar ontwerp van architect C. Knuttel. De woonhuizen werden gebouwd in opdracht van het echtpaar W. en Ch. E. van Beuningen, dat door de bouw van goede woningen de woonomstandigheden van de Vughtse bevolking wilde verbeteren. Omschrijving De woonhuizen hebben een rechthoekige plattegrond en tellen één bouwlaag onder een overstekend zadeldak met bakgoot op klossen. De daken hebben schoorstenen in onbeschilderde baksteen en zijn gedekt met groen geglazuurde pannnen. Aan de voor- en achterzijde een plat afgedekte dakkapel. De muren van de woonhuizen zijn opgetrokken in gewitte baksteen, met een zwartgeschilderde plint. In de voorgevel een eenvoudige ingangspartij, die wordt gevormd door een houten deur met een smal tweeruits venster en een drieruits bovenlicht. Hiernaast een kruisvenster ter hoogte van de voorkamer, met boven tweeruits en onder vierruits ramen. Houten onderluiken. Naast de ingang een eenruits toiletvenster, dat is gekoppeld aan het toiletvenster van het aangrenzende woonhuis. De kopgevel van Akkerstraat nummer 2 heeft een ingemetseld terracotta kop onder afdakje. Bij het woonhuis Akkerstraat 2 een éénlaags garage onder zadeldak, gedekt met groene geglazuurde pannen. De ingang van deze garage is gelegen aan de Fortstraat en bestaat uit een dubbele, opgeklampte rondboogdeur. Hierboven een klein rond venster. De garage sluit via een laag muurtje, dat is afgedekt met geglazuurde pannen, aan op het woonhuis. Aan de Fortstraat is dit muurtje voorzien van een rondboogpoort, die toegang geeft tot de achtertuinen van het huizenblok. De kopgevel van Akkerstraat 12 heeft rechts, ter hoogte van de voorkamer een klein kruisvenster. De overige kopgevels zijn sober en zonder vensters uitgevoerd. In de achtergevel zijn deze woonhuizen voorzien van een eenvoudige keukendeur met zesruits venster en drieruits zijlicht. Hiernaast, ter hoogte van de achterkamer, een driedelig samengesteld venster met boven tweeruits en onder vierruits ramen. De woonhuizen hebben in de achtertuin, achter de keuken, een eenlaags, in baksteen opgetrokken schuurtje onder zadeldak. In het merendeel van de woonhuizen is het interieur in de loop der tijd veranderd. In tegenstelling tot de hierboven beschreven typen woonhuizen (Complexonderdelen 1 en 2) hadden deze woonhuizen oorspronkelijk een vaste wand in plaats van schuifdeuren tussen de voor- en achterkamer op de begane grond. Hiernaast een smalle gang met betonemaille lambrisering en granito vloer. Op de bovenverdieping hadden deze huizen oorspronkelijk vier slaapkamers. Waardering De woonhuizen behorend bij het volkswoningbouwcomples de ""Piekenhoek""zijn van algemeen belang. De woonhuizen hebben cultuurhistorische waarde als bijzondere uitdrukking van een sociaal-economische ontwikkeling; zij vormen een voorbeeld van door particuliere weldoeners gerealiseerde volkswoningbouw. De woonhuizen hebben architectuurhistorische waarde als voorbeeld van volkswoningbouw in een karakteristiek gedetailleerde, traditionalistische vormentaal en vanwege het bijzondere materiaalgebruik. De woonhuizen bezitten ensemblewaarde als essentieel onderdeel van een groter geheel dat cultuurhistorisch, architectuurhistorisch en stedenbouwkundig van nationaal belang is. Tot slot zijn de woonhuizen van belang wegens gaafheid van het exterieur en vanwege typologische zeldzaamheid."
35496,Woningen en woningbouwcomplexen,Hoogstraat 33,Thorn,False,False,True,False,,,"Monumentaal HOEKHUIS. | Aan de zijde van de Holstraat een gevel met ankerjaartal 1630, muizetandlijsten en een in- en uitgezwenkte top. | De muizetandlijsten lopen door langs de voorgevel en de achtergevel, die voorzien zijn van een latere ingang en vensters in hardstenen omlijstingen.",,"Monumentaal HOEKHUIS. Aan de zijde van de Holstraat een gevel met ankerjaartal 1630, muizetandlijsten en een in- en uitgezwenkte top. De muizetandlijsten lopen door langs de voorgevel en de achtergevel, die voorzien zijn van een latere ingang en vensters in hardstenen omlijstingen."
18907,Woningen en woningbouwcomplexen,Antoniestraat 33,Haarlem,False,True,True,False,,Bescheiden architectuur,"PAND met grote tuitgevel XVII met gevelsteen 'INT WAPEN VAN DEL(FT)', met wapen en: 1612.",,"PAND met grote tuitgevel XVII met gevelsteen 'INT WAPEN VAN DEL(FT)', met wapen en: 1612. Bescheiden architectuur, doch van oudheidkundige waarde."
359760,Woningen en woningbouwcomplexen,Snouck van Loosenpark 33,Enkhuizen,False,False,True,True,,,Noordelijk aan de vijverpartij gesitueerde reeks van vier WONINGEN op rechthoekige plattegrond met risalerende middenpartijen aan de korte zijden en teruggerooide middenpartijen aan de lange zijden,deel uitmakend van het complex met monumentnummer 359693 en als zodanig van belang,"Noordelijk aan de vijverpartij gesitueerde reeks van vier WONINGEN op rechthoekige plattegrond met risalerende middenpartijen aan de korte zijden en teruggerooide middenpartijen aan de lange zijden en voor het overige dezelfde kenmerken als bij de woningen beschreven onder monumentnummer 359693. Woningreeks, deel uitmakend van het complex met monumentnummer 359693 en als zodanig van belang."
33327,Woningen en woningbouwcomplexen,Middenstreek 33,Schiermonnikoog,False,False,True,False,,,"Pand onder zadeldak, voorzijde afgewolfd, houten goot op blokjes.",,"Pand onder zadeldak, voorzijde afgewolfd, houten goot op blokjes."
22776,Woningen en woningbouwcomplexen,Steenstraat 33,Hulst,False,False,True,False,,,"Zeer breed dwarspand, voorzien van een gepleisterde lijstgevel met hardstenen cordonlijst, voordeuromlijsting met vensterdorpels. | Een attiekverdieping voorzien van in de lijst uitgespaarde lichten.",,"Zeer breed dwarspand, voorzien van een gepleisterde lijstgevel met hardstenen cordonlijst, voordeuromlijsting met vensterdorpels. Een attiekverdieping voorzien van in de lijst uitgespaarde lichten."
27596,Woningen en woningbouwcomplexen,Stokstraat 33,Maastricht,False,False,True,False,,,"Huis met lijstgevel, XVIII. | Segmentboogvensters in Naamse steen, oorspronkelijk kruisvensters; ook in de achtergevel. | Inwendig een balustertrap. | In kelder resten van Romeins muurwerk.",,"Huis met lijstgevel, XVIII. Segmentboogvensters in Naamse steen, oorspronkelijk kruisvensters; ook in de achtergevel. Inwendig een balustertrap. In kelder resten van Romeins muurwerk."
13972,Woningen en woningbouwcomplexen,Wolwevershaven 33,Dordrecht,False,True,True,True,,eenvoudige doch harmonische architectuur,Deels gepleisterde lijstgevel (XVIII d) met Empire schuiframen.,van oudheidkundige waarde,"PAKHUIS ""Oslo"". Deels gepleisterde lijstgevel (XVIII d) met Empire schuiframen. Gebouw van eenvoudige doch harmonische architectuur en van oudheidkundige waarde."
516789,Woningen en woningbouwcomplexen,Van Verschuerplein 33,Arnhem,False,False,False,False,,,,,"J.Th.W. Willemsen, De volkshuisvesting in Arnhem 1829-1925, Arnhem 1969 E.J. Hoogenberk, Het idee van de Hollandse stad. Stedebouw in Nederland 1900-1930 met de internationale voorgeschiedenis, Delft 1980 W. Lavooij, Gebouwd in Arnhem. Jongere bouwkunst vanaf 1840, Zutphen 1990"
19361,Woningen en woningbouwcomplexen,Kenaupark 33,Haarlem,False,False,True,False,,,"Gepleisterd statig herenhuis, 2e helft 19e eeuw.",,"Gepleisterd statig herenhuis, 2e helft 19e eeuw."
5063,Woningen en woningbouwcomplexen,Rozengracht 33,Amsterdam,False,False,True,False,,,Pand met eenvoudige klokgevel,,Pand met eenvoudige klokgevel (XVIIIc?).
8612,Woningen en woningbouwcomplexen,Langstraat 33,Barneveld,False,False,True,False,,,"Deftig HUIS van laat 18e eeuws voorkomen, doch blijkens klesoortjes in de linkerhoek van 17e eeuwse oorsprong. | Het pand heeft een verdieping en een hoog, dwars schilddak met hoekschoorstenen. | Eenvoudige deuromlijsting met pilasters; omlopende kroonlijst. | Dakkapel met zijstukken.",,"Deftig HUIS van laat 18e eeuws voorkomen, doch blijkens klesoortjes in de linkerhoek van 17e eeuwse oorsprong. Het pand heeft een verdieping en een hoog, dwars schilddak met hoekschoorstenen. Eenvoudige deuromlijsting met pilasters; omlopende kroonlijst. Dakkapel met zijstukken."
521692,Woningen en woningbouwcomplexen,Kluisstraat 33,Doenrade,False,True,False,False,,Redelijk.,,,Redelijk.
450443,Woningen en woningbouwcomplexen,Lange Nieuwstraat 33,Utrecht,True,True,True,True,uitgezonderd de onderpui van de achtergevel,Fraai is vooral de voorgevel met een gave geprofileerde zandstenen puibalk,Een 17e eeuws huis van twee bouwlagen en een kap loodrecht op de straat. | Dit vrij diepe smalle huis is geheel van 17e eeuwse opzet. | Het is vrij gaaf bewaard | Ook de gepleisterde tuitgevel aan de achterzijde bevat delen van oorspronkelijke kozijnen. | Het casco bestaat uit enkelvoudige balklagen. | Vooral de 17e eeuwse achtergevel is van belang.,Vooral de 17e eeuwse achtergevel is van belang.,"Een 17e eeuws huis van twee bouwlagen en een kap loodrecht op de straat. Dit vrij diepe smalle huis is geheel van 17e eeuwse opzet. Het is vrij gaaf bewaard, uitgezonderd de onderpui van de achtergevel. Fraai is vooral de voorgevel met een gave geprofileerde zandstenen puibalk, de oorspronkelijke kozijnen, zij het van het huis ontdaan, en de accoladebogen boven de kozijnen. Ook de gepleisterde tuitgevel aan de achterzijde bevat delen van oorspronkelijke kozijnen. Het casco bestaat uit enkelvoudige balklagen. Vooral de 17e eeuwse achtergevel is van belang."
522488,Woningen en woningbouwcomplexen,Koningsweg 33,'s-Hertogenbosch,False,True,True,True,,Het woonblok is van algemeen belang. | Het heeft cultuurhistorische waarde als voorbeeld van representatieve woningbouw voor een nieuwe klasse van stedelijke welgestelden rondom de eeuwwisseling. | Het heeft architectuurhistorische waarde als goed voorbeeld van eclectische bouwstijl. | Het is kenmerkend voor het oeuvre van de architect P.Th. Stornebrink. | Het heeft ensemblewaarde vanwege de samenhang met het woonblok Koningsweg 1-5 en Hertogstraat 2 en vanwege de samenhang in stijl en voorkomen met de rest van de woningen in de straat. | Het is van stedenbouwkundig belang als voorbeeld van Eclectische woningbouw in samenhang met de rest van de wijk.,"Het WOONBLOK, bestaande uit een drietal herenhuizen, een winkel met bovenwoning en een werkplaats met bovenwoning, is in het begin van de twintigste eeuw gebouwd naar ontwerp van de architect P.Th. Stornebrink in Eclectische stijl met Neo-Renaissance elementen. | De winkelruimte is anno 1999 in gebruik als woning. | De werkplaats dateert uit later tijd en was aanvankelijk woonruimte. | Het tweelaags woonblok heeft een L-vormige plattegrond met aan de achterzijde enkele uitbouwen. | De gevelindeling is verder in de oorspronkelijke staat. | Oorspronkelijke ramen met glas-in-lood bovenlichten worden nog aangetroffen in de woningen Koningsweg 35, 37 en 39 en Guldenvliesstraat 1. | De interieurindeling van de woningen is in grote lijnen ongewijzigd. | Enkele oorspronkelijke stucplafonds worden nog aangetroffen in de woningen Koningsweg 33 en 37 en Guldenvliesstraat 1 en 3. | In de woning Koningsweg 33 bevindt zich nog een oorspronkelijke tochtdeur en houten trap met dito trappaal. | In de woningen Koningsweg 39 en Guldenvliestraat 1 is nog de oorspronkelijke keukeninrichting aanwezig.",Het woonblok is van algemeen belang. | Het heeft cultuurhistorische waarde als voorbeeld van representatieve woningbouw voor een nieuwe klasse van stedelijke welgestelden rondom de eeuwwisseling. | Het heeft architectuurhistorische waarde als goed voorbeeld van eclectische bouwstijl. | Het is kenmerkend voor het oeuvre van de architect P.Th. Stornebrink. | Het heeft ensemblewaarde vanwege de samenhang met het woonblok Koningsweg 1-5 en Hertogstraat 2 en vanwege de samenhang in stijl en voorkomen met de rest van de woningen in de straat. | Het is van stedenbouwkundig belang als voorbeeld van Eclectische woningbouw in samenhang met de rest van de wijk.,"Inleiding. Het WOONBLOK, bestaande uit een drietal herenhuizen, een winkel met bovenwoning en een werkplaats met bovenwoning, is in het begin van de twintigste eeuw gebouwd naar ontwerp van de architect P.Th. Stornebrink in Eclectische stijl met Neo-Renaissance elementen. Het is gelegen aan de Koningsweg, die onderdeel uitmaakt van de noord-zuidas in de wijk het Zand. Als hoekblok vormt het de pendant van het woonblok Koningsweg 1-5 en Hertogstraat 2 van dezelfde architect. Beide hoekblokken maken onderdeel uit van het carré dat wordt omsloten door de Koningsweg, Guldenvliesstraat, Mayweg en Hertogstraat. De winkelruimte is anno 1999 in gebruik als woning. De werkplaats dateert uit later tijd en was aanvankelijk woonruimte. Omschrijving. Het tweelaags woonblok heeft een L-vormige plattegrond met aan de achterzijde enkele uitbouwen. Het is opgetrokken uit machinale baksteen met kunststenen ornamenten, gestucte lijsten en cordonbanden. Het omlopend zadeldak aan de straatzijde is, evenals de schilddaken aan de achterzijde, belegd met kruispannen. Uit de dakschilden steken dakkapellen onder zinken zadeldaken met dito spits. De afgeschuinde hoek kent op de eerste verdieping een houten erker, die uitloopt in een opengewerkte toren met zeshoekige zinken spits. Het woonblok heeft een drietal risalerende gevelgedeelten met rijk gedetailleerde topgevels met Neo-Renaissance rolwerk, waarvan er twee aan de Koningsweg zijn gelegen en één aan de Guldenvliesstraat. De topgevel aan de Guldenvliesstraat is identiek aan die ter hoogte van de woning Koningsweg 33 en heeft twee medaillons met leeuwenkoppen in reliëf. De topgevel van de derde risaliet is nog rijker gedetailleerd en heeft ook nog een bekroning, waarin een medaillon met de voorstelling van een gezicht en profil. De gevel is voorzien van een geprofileerde, gestucte plint, deels met gebosseerde motieven. De natuurstenen onderdorpels zetten zich voort over de gehele gevel. De vensters worden verbonden door speklagen. De winkelruimte, die zich op de begane grond van het hoekpand bevindt, heeft grote etalageramen en een toegangsdeur in de afgeschuinde hoek. Op de begane grond van het pand Guldenvliesstraat 3 is in later tijd een dubbele toegangspoort aangebracht. De gevelindeling is verder in de oorspronkelijke staat. Oorspronkelijke ramen met glas-in-lood bovenlichten worden nog aangetroffen in de woningen Koningsweg 35, 37 en 39 en Guldenvliesstraat 1. Boven de vensters op de eerste verdieping zijn kunststenen banden aangebracht met plantenmotieven, uitgezonderd de vensters op de eerste verdieping van de risalieten aan de Koningsweg, die worden bekroond door segmentbogen met siermetselwerk. De woningen Koningsweg 35 en 37 hebben op de eerste verdieping een houten balkon, geschraagd door houten steunen. De woning Koningsweg 33 heeft op de eerste verdieping, boven de voordeur een ijzeren Frans balkonnetje. De woningen aan de Koningsweg hebben aan de achterzijde een uitgebouwde keuken met daarboven een kamer op de tussenverdieping. Deze aanbouwen kennen weer een aangebouwd privaat, dat alleen van buiten bereikt kon worden. De woning Koningsweg 33 is in de jaren dertig uitgebreid met een eenlaags aanbouw met groot daklicht met glas-in-lood. In de jaren vijftig van de 20ste eeuw van is de uitbouw verder naar achter uitgebreid. De woning Koningsweg 37 staat via het achtererf in verbinding met de werkplaats op de Guldenvliesstraat. De interieurindeling van de woningen is in grote lijnen ongewijzigd. Alle panden zijn gedeeltelijk onderkelderd. Enkele oorspronkelijke stucplafonds worden nog aangetroffen in de woningen Koningsweg 33 en 37 en Guldenvliesstraat 1 en 3. In de woning Koningsweg 33 bevindt zich nog een oorspronkelijke tochtdeur en houten trap met dito trappaal. Hetzelfde geldt voor Koningsweg 37. In de woningen Koningsweg 39 en Guldenvliestraat 1 is nog de oorspronkelijke keukeninrichting aanwezig. Waardering. Het woonblok is van algemeen belang. Het heeft cultuurhistorische waarde als voorbeeld van representatieve woningbouw voor een nieuwe klasse van stedelijke welgestelden rondom de eeuwwisseling. Het heeft architectuurhistorische waarde als goed voorbeeld van eclectische bouwstijl. Het is kenmerkend voor het oeuvre van de architect P.Th. Stornebrink. Het heeft ensemblewaarde vanwege de samenhang met het woonblok Koningsweg 1-5 en Hertogstraat 2 en vanwege de samenhang in stijl en voorkomen met de rest van de woningen in de straat. Het is van stedenbouwkundig belang als voorbeeld van Eclectische woningbouw in samenhang met de rest van de wijk. Het is uitwendig gaaf behouden."
27756,Woningen en woningbouwcomplexen,Wolfstraat 33,Maastricht,False,False,True,False,,,"Huis met lijstgevel, XVIII A. | Vensters in Naamse steen. | Horizontale reliefbanden. | Pui gewijzigd.",,"Huis met lijstgevel, XVIII A. Vensters in Naamse steen. Horizontale reliefbanden. Pui gewijzigd."
